time,d,v,vact,tact
166,700000,51,250,0,Normal
352,665000,170,250,0,Normal
537,624000,257,250,0,Normal
722,579000,253,250,0,Normal
907,532000,248,250,0,Normal
1092,487000,248,250,0,Normal
1276,443000,247,250,0,Normal
1462,398000,251,250,0,Normal
1690,331000,249,250,0,Normal
1876,295000,247,250,0,Normal
2060,245000,245,250,0,Normal
2245,204000,248,250,0,Normal
2430,158000,248,250,0,Normal
2615,113000,245,250,0,Normal
2801,61000,250,250,0,Normal
2986,15000,248,250,0,Fallback
,Plant Violation
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 15000
,,,,,Final distance  (- WORST_STOP_DIST) -2000
,,,,,Engage distance (measured) 73000
,,,,,Final distance (measured) 55000
