time,d,v,vact,tact
166,668000,51,100,0,Normal
354,660000,66,100,0,Normal
541,659000,102,100,0,Normal
726,635000,95,100,0,Normal
914,613000,96,100,0,Normal
1101,596000,97,100,0,Normal
1326,570000,99,100,0,Normal
1513,549000,97,100,0,Normal
1702,530000,96,100,0,Normal
1888,506000,98,100,0,Normal
2079,497000,98,100,0,Normal
2264,478000,98,100,0,Normal
2449,455000,98,100,0,Normal
2633,439000,98,100,0,Normal
2818,419000,98,100,0,Normal
3003,404000,98,100,0,Normal
3187,376000,98,100,0,Normal
3372,362000,98,100,0,Normal
3557,348000,98,100,0,Normal
3742,326000,98,100,0,Normal
3927,316000,98,100,0,Normal
4111,300000,95,100,0,Normal
4295,277000,98,100,0,Normal
4480,256000,95,100,0,Normal
4665,238000,98,100,0,Normal
4849,221000,95,100,0,Normal
5034,211000,98,100,0,Normal
5218,214000,95,100,0,Normal
5402,219000,98,100,0,Normal
5586,224000,98,100,0,Normal
5774,226000,97,100,0,Normal
5962,237000,97,100,0,Normal
6155,248000,100,100,0,Normal
6398,253000,97,100,0,Normal
6586,254000,96,100,0,Normal
6772,256000,97,100,0,Normal
6958,254000,97,100,0,Normal
7148,249000,97,100,0,Normal
7333,250000,98,100,0,Normal
7524,256000,97,100,0,Normal
7708,257000,98,100,0,Normal
7893,270000,98,100,0,Normal
8077,266000,95,100,0,Normal
8262,258000,98,100,0,Normal
8447,266000,98,100,0,Normal
8632,274000,98,100,0,Normal
8817,265000,98,100,0,Normal
9001,268000,98,100,0,Normal
9187,262000,95,100,0,Normal
9371,256000,98,100,0,Normal
9556,245000,98,100,0,Normal
9740,241000,98,100,0,Normal
9924,256000,93,100,0,Normal
,,,,,Experiment summary
,,,,,Who Unknown
,,,,,Engage distance (- WORST_STOP_DIST) -1
,,,,,Final distance  (- WORST_STOP_DIST) 253000
,,,,,Engage distance (measured) 57999
,,,,,Final distance (measured) 315000
