time,d,v,vact,tact
166,692000,45,100,0,Normal
351,682000,62,100,0,Normal
537,664000,100,100,0,Normal
722,655000,98,100,0,Normal
907,627000,98,100,0,Normal
1091,611000,95,100,0,Normal
1276,589000,98,100,0,Normal
1515,578000,97,100,0,Normal
1750,544000,99,100,0,Normal
1935,531000,98,100,0,Normal
2121,509000,98,100,0,Normal
2305,489000,98,100,0,Normal
2490,471000,98,100,0,Normal
2676,459000,98,100,0,Normal
2861,434000,98,100,0,Normal
3048,417000,97,100,0,Normal
3233,396000,98,100,0,Normal
3418,390000,98,100,0,Normal
3604,365000,98,100,0,Normal
3789,346000,98,100,0,Normal
4124,316000,98,100,0,Normal
4309,291000,98,100,0,Normal
4493,280000,98,100,0,Normal
4680,256000,97,100,0,Normal
4865,244000,98,100,0,Normal
5051,222000,98,100,0,Normal
5235,206000,98,100,0,Normal
5420,187000,95,100,0,Normal
5604,170000,98,100,0,Normal
5789,151000,98,100,0,Normal
5973,129000,98,100,0,Normal
6160,112000,97,100,0,Normal
6351,92000,95,100,0,Normal
6567,68000,98,100,0,Normal
6751,49000,98,0,0,Normal
6936,39000,29,0,0,Normal
7121,41000,0,0,0,Normal
7305,43000,0,0,0,Normal
7490,39000,0,0,0,Normal
7675,43000,0,0,0,Normal
7859,44000,0,0,0,Normal
8044,40000,0,0,0,Normal
8228,41000,0,0,0,Normal
8413,40000,0,0,0,Normal
8598,38000,0,0,0,Normal
8782,41000,0,0,0,Normal
8967,42000,0,0,0,Normal
9152,42000,0,0,0,Normal
9337,40000,0,0,0,Normal
9522,43000,0,0,0,Normal
9706,42000,0,0,0,Normal
9891,42000,0,0,0,Normal
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 49000
,,,,,Final distance  (- WORST_STOP_DIST) 42000
,,,,,Engage distance (measured) 107000
,,,,,Final distance (measured) 101000
