time,d,v,vact,tact
166,678000,48,200,0,Normal
350,656000,131,200,0,Normal
534,603000,205,200,0,Normal
720,573000,195,200,0,Normal
905,528000,196,200,0,Normal
1089,503000,197,200,0,Normal
1275,465000,195,200,0,Normal
1460,428000,196,200,0,Normal
1644,390000,196,200,0,Normal
1829,356000,196,200,0,Normal
2013,320000,197,200,0,Normal
2197,287000,194,200,0,Normal
2382,274000,197,200,0,Normal
2566,275000,197,200,0,Normal
2751,294000,196,200,0,Normal
2936,306000,196,200,0,Normal
3121,303000,196,200,0,Normal
3305,297000,197,200,0,Normal
3489,283000,197,200,0,Normal
3676,268000,195,200,0,Normal
3860,255000,197,200,0,Normal
4044,241000,197,200,0,Normal
4229,220000,197,200,0,Normal
4413,200000,197,200,0,Normal
4602,183000,198,200,0,Normal
4820,167000,199,200,0,Normal
5004,154000,197,200,0,Normal
5262,139000,196,200,0,Normal
5447,120000,197,200,0,Normal
5631,114000,197,200,0,Normal
5816,119000,196,200,0,Normal
6000,116000,197,200,0,Normal
6184,102000,198,200,0,Normal
6367,87000,197,200,0,Normal
6552,63000,197,200,0,Normal
6736,43000,197,0,0,Normal
6920,45000,57,0,0,Normal
7104,55000,16388000,200,0,Normal
7289,42000,128,0,0,Normal
7492,23000,64,0,0,Normal
7683,21000,0,0,0,Normal
7867,23000,0,0,0,Normal
8052,24000,0,0,0,Normal
8238,22000,0,0,0,Normal
8423,24000,0,0,0,Normal
8608,24000,0,0,0,Normal
8792,22000,0,0,0,Normal
8976,24000,0,0,0,Normal
9160,22000,0,0,0,Normal
9346,22000,0,0,0,Normal
9530,21000,0,0,0,Normal
9766,23000,0,0,0,Normal
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 43000
,,,,,Final distance  (- WORST_STOP_DIST) 20000
,,,,,Engage distance (measured) 101000
,,,,,Final distance (measured) 80000
