time,d,v,vact,tact
182,698000,43,150,0,Normal
410,662000,108,150,0,Normal
594,634000,150,150,0,Normal
778,608000,148,150,0,Normal
962,583000,148,150,0,Normal
1147,547000,147,150,0,Normal
1331,533000,148,150,0,Normal
1516,522000,147,150,0,Normal
1700,482000,145,150,0,Normal
1885,455000,147,150,0,Normal
2069,434000,147,150,0,Normal
2254,406000,147,150,0,Normal
2439,389000,147,150,0,Normal
2624,390000,147,150,0,Normal
2808,406000,148,150,0,Normal
2993,406000,148,150,0,Normal
3177,414000,148,150,0,Normal
3362,408000,147,150,0,Normal
3547,394000,147,150,0,Normal
3732,364000,147,150,0,Normal
3916,345000,148,150,0,Normal
4101,309000,148,150,0,Normal
4286,298000,147,150,0,Normal
4471,320000,147,150,0,Normal
4656,370000,147,150,0,Normal
4841,390000,147,150,0,Normal
5025,365000,148,150,0,Normal
5257,330000,148,150,0,Normal
5495,296000,148,150,0,Normal
5680,270000,147,150,0,Normal
5864,244000,148,150,0,Normal
6048,219000,148,150,0,Normal
6233,214000,147,150,0,Normal
6418,215000,147,150,0,Normal
6602,235000,148,150,0,Normal
6786,232000,148,150,0,Normal
6971,218000,147,150,0,Normal
7155,220000,148,150,0,Normal
7339,212000,148,150,0,Normal
7523,198000,148,150,0,Normal
7708,187000,147,150,0,Normal
7893,193000,147,150,0,Normal
8079,193000,149,150,0,Normal
8264,178000,147,150,0,Normal
8448,153000,148,150,0,Normal
8631,121000,148,150,0,Normal
8816,94000,148,150,0,Normal
9000,64000,148,150,0,Normal
9185,38000,147,0,0,Normal
9369,33000,43,0,0,Normal
9553,37000,0,0,0,Normal
9737,36000,0,0,0,Normal
9922,37000,0,0,0,Normal
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 38000
,,,,,Final distance  (- WORST_STOP_DIST) 35000
,,,,,Engage distance (measured) 96000
,,,,,Final distance (measured) 96000
