time,d,v,vact,tact
223,681000,40,100,0,Normal
408,671000,62,100,0,Normal
593,651000,100,100,0,Normal
778,650000,98,100,0,Normal
963,611000,95,100,0,Normal
1148,619000,100,100,0,Normal
1333,584000,95,100,0,Normal
1518,570000,98,100,0,Normal
1703,536000,98,100,0,Normal
1888,534000,98,100,0,Normal
2074,519000,98,100,0,Normal
2259,498000,97,250,0,Normal
2445,460000,199,250,0,Normal
2630,412000,256,250,0,Normal
2815,369000,248,250,0,Normal
2999,325000,249,250,0,Normal
3184,277000,248,250,0,Normal
3369,236000,248,250,0,Normal
3554,190000,248,250,0,Normal
3739,143000,248,250,0,Normal
3924,93000,248,250,0,Normal
4109,46000,247,250,0,Fallback
4293,23000,73,250,0,Fallback
4477,22000,0,250,0,Fallback
4662,23000,0,250,0,Fallback
4847,25000,0,250,0,Fallback
5073,23000,0,250,0,Fallback
5272,26000,0,250,0,Fallback
5457,23000,0,250,0,Fallback
5642,27000,0,250,0,Fallback
5827,26000,0,250,0,Fallback
6011,27000,0,250,0,Fallback
6196,21000,0,250,0,Fallback
6381,26000,0,250,0,Fallback
6566,24000,0,250,0,Fallback
6751,24000,0,250,0,Fallback
6935,24000,0,250,0,Fallback
7120,25000,0,250,0,Fallback
7304,23000,0,250,0,Fallback
7489,24000,0,250,0,Fallback
7674,24000,0,250,0,Fallback
7859,27000,0,250,0,Fallback
8043,25000,0,250,0,Fallback
8228,26000,0,250,0,Fallback
8412,22000,0,250,0,Fallback
8597,20000,0,250,0,Fallback
8782,25000,0,250,0,Fallback
8966,24000,0,250,0,Fallback
9151,26000,0,250,0,Fallback
9336,23000,0,250,0,Fallback
9520,27000,0,250,0,Fallback
9705,28000,0,250,0,Fallback
9888,26000,0,250,0,Fallback
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 46000
,,,,,Final distance  (- WORST_STOP_DIST) 23000
,,,,,Engage distance (measured) 104000
,,,,,Final distance (measured) 82000
