time,d,v,vact,tact
166,695000,51,200,0,Normal
351,689000,136,200,0,Normal
536,627000,207,200,0,Normal
722,600000,196,200,0,Normal
906,568000,196,200,0,Normal
1091,525000,196,200,0,Normal
1275,491000,197,250,0,Normal
1460,457000,234,250,0,Normal
1646,405000,251,250,0,Normal
1830,360000,247,250,0,Normal
2014,317000,252,250,0,Normal
2200,271000,248,250,0,Normal
2385,227000,248,250,0,Normal
2570,177000,245,250,0,Normal
2754,134000,247,250,0,Normal
2939,82000,249,250,0,Normal
3124,33000,248,250,0,Fallback
3308,19000,68,250,0,Fallback
3493,19000,0,250,0,Fallback
3678,19000,0,250,0,Fallback
3862,18000,0,250,0,Fallback
4084,23000,0,250,0,Fallback
4288,21000,0,250,0,Fallback
4472,17000,0,250,0,Fallback
4658,15000,0,250,0,Fallback
4843,19000,0,250,0,Fallback
5027,20000,0,250,0,Fallback
5215,17000,0,250,0,Fallback
5399,21000,0,250,0,Fallback
5584,18000,0,250,0,Fallback
5768,18000,0,250,0,Fallback
5953,20000,0,250,0,Fallback
6137,18000,0,250,0,Fallback
6321,18000,0,250,0,Fallback
6506,18000,0,250,0,Fallback
6690,18000,0,250,0,Fallback
6875,19000,0,250,0,Fallback
7059,19000,0,250,0,Fallback
7244,20000,0,250,0,Fallback
7428,20000,0,250,0,Fallback
7614,19000,0,250,0,Fallback
7799,22000,0,250,0,Fallback
7986,19000,0,250,0,Fallback
8170,19000,0,250,0,Fallback
8355,20000,0,250,0,Fallback
8539,18000,0,250,0,Fallback
8725,20000,0,250,0,Fallback
8909,19000,0,250,0,Fallback
9139,18000,0,250,0,Fallback
9324,20000,0,250,0,Fallback
9508,20000,0,250,0,Fallback
9692,20000,0,250,0,Fallback
9876,16000,0,250,0,Fallback
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 33000
,,,,,Final distance  (- WORST_STOP_DIST) 18000
,,,,,Engage distance (measured) 91000
,,,,,Final distance (measured) 76000
