time,d,v,vact,tact
200,699000,29975991,200,0,Normal
415,681000,141,200,0,Normal
661,636000,203,200,0,Normal
846,572000,196,200,0,Normal
1031,485000,197,200,0,Normal
1216,364000,196,200,0,Normal
1402,277000,198,200,0,Normal
1587,193000,196,200,0,Normal
1772,100000,196,200,0,Normal
1956,15000,196,0,0,Normal
,Plant Violation
,,,,,Experiment summary
,,,,,Who Ctrl
,,,,,Engage distance (- WORST_STOP_DIST) 15000
,,,,,Final distance  (- WORST_STOP_DIST) -10000
,,,,,Engage distance (measured) 73000
,,,,,Final distance (measured) 47000
